infection_prob	prestige	size
0.30000000000000004	99.54	0.30421428571428566
0.30000000000000004	100.06	0.008928571428571425
0.30000000000000004	101.19	0.008928571428571425
0.30000000000000004	101.48	0.011812499999999997
0.30000000000000004	102.03	0.008928571428571425
0.30000000000000004	103.77	0.008928571428571425
0.30000000000000004	104.9	0.008928571428571425
0.5	1.19	0.9999910714285715
0.5	2.28	1.0
0.5	4.39	1.0
0.5	6.16	1.0
0.5	6.21	1.0
0.5	6.27	1.0
0.5	8.51	1.0
0.5	9.23	1.0
0.5	10.02	1.0
0.5	10.74	1.0
0.5	10.79	1.0
0.5	11.72	1.0
0.5	11.99	1.0
0.5	12.91	1.0
0.5	13.96	1.0
0.5	16.62	1.0
0.5	18.8	1.0
0.5	19.2	1.0
0.5	20.3	1.0
0.5	20.54	1.0
0.5	21.17	1.0
0.5	22.77	1.0
0.5	25.09	1.0
0.5	26.07	1.0
0.5	26.96	1.0
0.5	27.03	1.0
0.5	27.55	1.0
0.5	28.06	1.0
0.5	29.24	1.0
0.5	29.5	1.0
0.5	34.54	1.0
0.5	35.24	1.0
0.5	37.28	1.0
0.5	37.77	1.0
0.5	38.7	1.0
0.5	39.48	1.0
0.5	39.73	1.0
0.5	40.37	1.0
0.5	40.95	1.0
0.5	42.51	0.9999910714285715
0.5	44.2	1.0
0.5	46.53	1.0
0.5	47.39	1.0
0.5	47.5	1.0
0.5	47.53	1.0
0.5	47.68	1.0
0.5	47.95	0.9999910714285715
0.5	48.53	0.9812232142857142
0.5	49.18	1.0
0.5	49.98	0.9940803571428571
0.5	50.61	1.0
0.5	51.0	0.9540714285714286
0.5	51.57	1.0
0.5	52.71	1.0
0.5	53.89	1.0
